Index Correct Predicted Confidence
242 otter crocodile 0.9625
243 lamp bottle 0.9788
244 ray seal 0.9414
245 pine_tree palm_tree 0.9904
246 worm snake 0.9977
247 shrew skunk 0.9274
248 shrew lizard 0.9754
249 mouse shrew 0.9837
250 crab poppy 0.9476
251 house castle 0.9452
252 telephone wardrobe 0.9316
253 worm plate 0.9580
254 otter seal 0.9564
255 flatfish man 0.9557
256 dolphin otter 0.9987
257 otter bear 0.9628
258 bowl cup 0.9915
259 shrew squirrel 0.9984
260 bed couch 0.9993
261 pear worm 0.9299
262 snail mushroom 0.9689
263 cup lamp 0.9865
264 bus television 0.9881
265 lion cattle 0.9375
266 shrew beaver 0.9547
267 seal turtle 0.9449
268 bottle rocket 0.9923
269 oak_tree maple_tree 0.9575
270 boy woman 0.9436
271 squirrel mouse 0.9929
272 bus skunk 0.9274
273 oak_tree pine_tree 0.9908
274 dolphin shark 0.9674
275 shrew mouse 0.9542
276 shark turtle 0.9068
277 spider pear 0.9057
278 bottle rocket 0.9965
279 ray worm 0.9877
280 turtle snake 0.9231
281 maple_tree pine_tree 0.9965
282 caterpillar porcupine 0.9462
283 can plate 0.9494
284 pear apple 0.9267
285 table television 0.9739
286 shrew rabbit 0.9622
287 bed chair 0.9471
288 willow_tree plain 0.9892
289 bear shrew 0.9294
290 worm snake 0.9029
291 girl woman 0.9093
292 oak_tree maple_tree 0.9730
293 trout shark 0.9940
294 spider crab 0.9370
295 keyboard television 0.9992
296 can telephone 0.9185
297 dolphin shark 0.9298
298 bicycle motorcycle 0.9999
299 road forest 0.9951
300 ray turtle 0.9888
301 girl woman 0.9689
302 elephant porcupine 0.9190
303 keyboard streetcar 0.9482
304 tulip orchid 1.0000
305 forest willow_tree 0.9995
306 worm snake 0.9507
307 table lamp 0.9829
308 skyscraper castle 0.9027
309 possum turtle 0.9375
310 mountain shark 0.9433
311 plate clock 0.9911
312 can plate 0.9203
313 mushroom squirrel 0.9717
314 shark ray 0.9049
315 seal snail 0.9991
316 spider orchid 0.9345
317 poppy rose 0.9254
318 rabbit porcupine 0.9086
319 cattle elephant 0.9751
320 chair bed 0.9895
321 mouse hamster 0.9672
322 willow_tree maple_tree 0.9444
323 lamp worm 0.9683
324 fox lion 0.9979
325 cloud sea 0.9992
326 ray pear 0.9903
327 shark lobster 0.9793
328 fox bear 0.9069
329 otter sea 0.9868
330 television clock 0.9404
331 mushroom turtle 0.9637
332 skyscraper rocket 0.9988
333 snail mushroom 1.0000
334 crocodile raccoon 0.9979
335 castle house 0.9152
336 turtle lobster 0.9228
337 mushroom lamp 0.9503
338 seal otter 0.9815
339 cup bottle 0.9860
340 worm snake 0.9627
341 sweet_pepper orange 0.9853
342 bus streetcar 0.9568
343 plain sea 0.9982
344 bee shrew 0.9260
345 pear apple 0.9132
346 forest willow_tree 0.9616
347 whale dolphin 0.9845
348 dinosaur lizard 0.9256
349 maple_tree television 0.9952
350 girl woman 0.9472
351 chimpanzee beaver 0.9434
352 bed wardrobe 0.9901
353 shark cattle 0.9415
354 willow_tree mountain 0.9997
355 lizard table 0.9718
356 caterpillar otter 0.9854
357 television man 0.9240
358 boy forest 0.9192
359 plate clock 0.9445
360 shark turtle 0.9125
361 sea plain 0.9155
362 caterpillar sweet_pepper 0.9816
363 cockroach spider 0.9173
364 castle rocket 0.9684
365 pine_tree oak_tree 0.9592
366 bee poppy 0.9892
367 whale otter 0.9978
368 can lamp 0.9964
369 worm plate 0.9767
370 bus streetcar 0.9659
371 whale dolphin 0.9805
372 boy baby 0.9264
373 pear orange 0.9191
374 kangaroo squirrel 0.9194
375 bus streetcar 0.9582
376 road plain 0.9173
377 spider beetle 0.9671
378 mountain sea 0.9888
379 butterfly sweet_pepper 0.9784
380 porcupine skunk 0.9701
381 telephone clock 0.9402
382 snail turtle 0.9706
383 cockroach forest 0.9857
384 maple_tree oak_tree 0.9588
385 lizard leopard 0.9883
386 snake worm 0.9472
387 lizard seal 0.9229
388 camel cattle 0.9902
389 shark dolphin 0.9321
390 lobster spider 0.9981
391 possum mouse 0.9047
392 plain sea 0.9993
393 shrew mouse 0.9602
394 forest trout 0.9764
395 tulip poppy 0.9699
396 castle house 0.9390
397 shark tank 0.9089
398 table bed 0.9552
399 bee sunflower 0.9805
400 rabbit squirrel 0.9205
401 bowl worm 0.9693
402 beetle spider 0.9832
403 baby bed 0.9998
404 poppy tulip 0.9878
405 cup bowl 0.9822
406 beaver porcupine 0.9944
407 bus streetcar 0.9805
408 forest mountain 1.0000
409 porcupine possum 0.9286
410 shark rocket 0.9510
411 whale shark 0.9550
412 butterfly poppy 0.9286
413 flatfish trout 0.9978
414 lizard turtle 0.9110
415 dinosaur lizard 0.9775
416 boy woman 0.9307
417 shrew snail 0.9999
418 bear seal 0.9829
